Species,Genus,Damage,Rating,Notes,Reference
Leptospermum petersonii,Leptospermum,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum semibaccatum,Leptospermum,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lindsayomyrtus racemoides,Lindsayomyrtus,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lithomyrtus obtusa,Lithomyrtus,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lophostemon suaveolens,Lophostemon,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca cheelii,Melaleuca,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca comboynensis,Melaleuca,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca fluviatilis,Melaleuca,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca leucadendra,Melaleuca,,RT-MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca linariifolia,Melaleuca,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nervosa,Melaleuca,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nesophila,Melaleuca,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nodosa,Melaleuca,,HS-ES,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca saligna,Melaleuca,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca viridiflora,Melaleuca,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Metrosideros collina,Metrosideros,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
"Metrosideros collina x
villosa",Metrosideros,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
"Metrosideros
kermadecensis",Metrosideros,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Metrosideros thomasii,Metrosideros,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Myrciaria cauliflora,Myrciaria,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Myrtus communis,Myrtus,,MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Neofabricia myrtifolia,Neofabricia,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Osbornia octodonta,Osbornia,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma glabrum,Pilidiostigma,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma rhytispermum,Pilidiostigma,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma tetramerum,Pilidiostigma,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia acuminata,Rhodamnia,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia arenaria,Rhodamnia,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia argentea,Rhodamnia,,MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia australis,Rhodamnia,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia blairiana,Rhodamnia,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia costata,Rhodamnia,,RT-MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia dumicola,Rhodamnia,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia sessiliflora,Rhodamnia,,MS-HS-ES,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia spongiosa,Rhodamnia,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Homoranthus papillatus,Homoranthus,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Hypocalymma angustifolium ,Hypocalymma,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia prominens,Lenwebbia,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia sp. Blackall Range,Lenwebbia,,RT-MS-HS-ES,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum barneyense,Leptospermum,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum luehmannii,Leptospermum,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum trinervium,Leptospermum,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Mitrantia bilocularis,Mitrantia,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia angustifolia,Rhodamnia,,ES,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia glabrescens,Rhodamnia,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia pauciovulata,Rhodamnia,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia rubescens,Rhodamnia,,HS-ES,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus canescens,Rhodomyrtus,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus effusa,Rhodomyrtus,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus macrocarpa,Rhodomyrtus,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus pervagata,Rhodomyrtus,,MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus sericea,Rhodomyrtus,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus tomentosa,Rhodomyrtus,,MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus trineura,Rhodomyrtus,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Ristantia waterhousei,Ristantia,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Ristantia pachysperma,Ristantia,,MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Sphaerantia discolor,Sphaerantia,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Stockwellia quadrifida,Stockwellia,,HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium angophoroides,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium anisatum,Syzygium,,RT-MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium apodophyllum,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium argyropedicum,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium armstrongii,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium australe,Syzygium,,RT-MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium bamagense,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium banksii,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium boonjee,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium canicortex,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium claviflorum,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium cormiflorum,Syzygium,,RT,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium corynanthum,Syzygium,,RT-MS-HS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium cryptophlebium,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium cumini,Syzygium,,MS,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
