Species,Genus,Size class,Damage,Notes,Reference
Metrosideros polymorpha,Metrosideros,<1m,0.08,"8Ð10% mortality rate for over 17,000 Ô_hiÔa seedlings and young saplings, even with a monthly treatment of Puccinia-specific fungicide",https://www.sciencedirect.com/science/article/pii/S1462901112000433
rhodamnia maideniana,Rhodamnia,<1m,1,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
rhodamnia maideniana,Rhodamnia,1 m - 4 m,0.9342,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
rhodamnia rubescens,Rhodamnia,,0.12,mean adult mortality across different sites,https://link.springer.com/article/10.1007/s10530-015-0996-y/tables/2
rhodamnia rubescens,Rhodamnia,0.5 m - 4 m,0.53,"tree death  (""53 % of trees had died by October 2014"")",https://link.springer.com/article/10.1007/s10530-015-0996-y
rhodomyrtus psidioides,Rhodomyrtus,< 12 m,0.57,mean tree mortality across different sites,https://link.springer.com/article/10.1007/s10530-015-0996-y
Agonis flexuosa,Agonis,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Asteromyrtus brassii,Asteromyrtus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Austromyrtus dulcis,Austromyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Austromyrtus tenuifolia,Austromyrtus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia angustifolia,Backhousia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia bancroftii,Backhousia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia citriodora,Backhousia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia enata,Backhousia,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia gundarara,Backhousia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia hughesii,Backhousia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia leptopetala,Backhousia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia myrtifolia,Backhousia,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia oligantha,Backhousia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia sciadophora,Backhousia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Backhousia subargentea,Backhousia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon formosus,Callistemon,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon pachyphyllus,Callistemon,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon polandii,Callistemon,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon salignus,Callistemon,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon sieberi,Callistemon,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Callistemon viminalis,Callistemon,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Chamelaucium uncinatum,Chamelaucium,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Corymbia ficifolia x C. ptychocarpa,Corymbia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Corymbia henryi,Corymbia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Corymbia torelliana,Corymbia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Darwinia citriodora,Darwinia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Decaspermum humile,Decaspermum,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus carnea,Eucalyptus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus cloeziana,Eucalyptus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus curtisii,Eucalyptus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus planchoniana,Eucalyptus,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus tereticornis,Eucalyptus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eucalyptus tindaliae,Eucalyptus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eugenia natalitia,Eugenia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eugenia uniflora,Eugenia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Eugenia zeyheri,Eugenia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia acmenoides,Gossia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia bamagensis,Gossia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia bidwillii,Gossia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia floribunda,Gossia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia fragrantissima,Gossia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia gonoclada,Gossia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia inophloia,Gossia,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia lewisensis,Gossia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia macilwraithensis,Gossia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia myrsinocarpa,Gossia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Gossia punctata,Gossia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Homoranthus papillatus,Homoranthus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Homoranthus virgatus,Homoranthus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Homoranthus melanostictus,Homoranthus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Hypocalymma angustifolium ,Hypocalymma,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia lasioclada,Lenwebbia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia prominens,Lenwebbia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia sp. Blackall Range,Lenwebbia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lenwebbia sp. Main Range (P.R.Sharpe+ 4877),Lenwebbia,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum barneyense,Leptospermum,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum liversidgei,Leptospermum,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum luehmannii,Leptospermum,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum madidum,Leptospermum,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum petersonii,Leptospermum,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum semibaccatum,Leptospermum,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Leptospermum trinervium,Leptospermum,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lindsayomyrtus racemoides,Lindsayomyrtus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lithomyrtus obtusa,Lithomyrtus,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Lophostemon suaveolens,Lophostemon,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca cheelii,Melaleuca,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca comboynensis,Melaleuca,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca fluviatilis,Melaleuca,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca leucadendra,Melaleuca,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca linariifolia,Melaleuca,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nervosa,Melaleuca,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nesophila,Melaleuca,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca nodosa,Melaleuca,,0.688332513,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca saligna,Melaleuca,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Melaleuca viridiflora,Melaleuca,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Metrosideros collina,Metrosideros,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Metrosideros collina x,Metrosideros,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
villosa,,,,,
Metrosideros thomasii,Metrosideros,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Metrosideros kermadecensis,Metrosideros,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Mitrantia bilocularis,Mitrantia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Myrciaria cauliflora,Myrciaria,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Myrtus communis,Myrtus,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Neofabricia myrtifolia,Neofabricia,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Osbornia octodonta,Osbornia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma glabrum,Pilidiostigma,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma rhytispermum,Pilidiostigma,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Pilidiostigma tetramerum,Pilidiostigma,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia acuminata,Rhodamnia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia angustifolia,Rhodamnia,,0.825999016,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia arenaria,Rhodamnia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia argentea,Rhodamnia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia australis,Rhodamnia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia blairiana,Rhodamnia,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia costata,Rhodamnia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia dumicola,Rhodamnia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia glabrescens,Rhodamnia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia pauciovulata,Rhodamnia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia rubescens,Rhodamnia,,0.688332513,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia sessiliflora,Rhodamnia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodamnia spongiosa,Rhodamnia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus canescens,Rhodomyrtus,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus effusa,Rhodomyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus macrocarpa,Rhodomyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus pervagata,Rhodomyrtus,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus sericea,Rhodomyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus tomentosa,Rhodomyrtus,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Rhodomyrtus trineura,Rhodomyrtus,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Ristantia pachysperma,Ristantia,,0.412999508,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Ristantia waterhousei,Ristantia,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Sphaerantia discolor,Sphaerantia,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Stockwellia quadrifida,Stockwellia,,0.550666011,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium angophoroides,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium anisatum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium apodophyllum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium aqueum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium argyropedicum,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium armstrongii,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium australe,Syzygium,,0.137666503,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium bamagense,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium banksii,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium boonjee,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium canicortex,Syzygium,,0,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
Syzygium claviflorum,Syzygium,,0.275333005,mapping,https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf Appendix 3
